Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAPL,Apple Inc. Common Stock,$147.06,0.11,0.075%,2549629220400.00,United States,1980,46343028,Technology,Computer Manufacturing
ADBE,Adobe Inc. Common Stock,$632.08,6.40,1.023%,301122912000.00,United States,1986,1158173,Technology,Computer Software: Prepackaged Software
AMZN,Amazon.com Inc. Common Stock,$3375.99,21.27,0.634%,1709738131115.00,United States,1997,2430221,Consumer Services,Catalog/Specialty Distribution
ASML,ASML Holding N.V. New York Registry Shares,$794.75,-0.73,-0.092%,325670136437.00,Netherlands,1995,723657,Technology,Industrial Machinery/Components
AVGO,Broadcom Inc. Common Stock,$487.67,-0.13,-0.027%,200071767295.00,United States,2009,837221,Technology,Semiconductors
CMCSA,Comcast Corporation Class A Common Stock,$58.34,0.37,0.638%,267765269940.00,United States,,8723483,Consumer Services,Television Services
CSCO,Cisco Systems Inc. Common Stock (DE),$55.76,0.07,0.126%,235406762101.00,United States,1990,10782898,Public Utilities,Telecommunications Equipment
FB,Facebook Inc. Class A Common Stock,$362.97,4.05,1.128%,1023373770528.00,United States,2012,10240313,Technology,Internet and Information Services
GOOG,Alphabet Inc. Class C Capital Stock,$2738.80,18.23,0.67%,1826108331075.00,United States,2004,593190,Technology,Internet and Information Services
GOOGL,Alphabet Inc. Class A Common Stock,$2725.03,22.52,0.833%,1816927116047.00,United States,,891705,Technology,Internet and Information Services
INTC,Intel Corporation Common Stock,$53.89,0.3375,0.63%,218631730000.00,United States,,15299295,Technology,Semiconductors
MSFT,Microsoft Corporation Common Stock,$289.52,3.01,1.051%,2175711314121.00,United States,1986,13893767,Technology,Computer Software: Prepackaged Software
NFLX,Netflix Inc. Common Stock,$524.89,7.54,1.457%,232314155652.00,United States,2002,2555232,Consumer Services,Movies/Entertainment
NVDA,NVIDIA Corporation Common Stock,$206.37,3.63,1.79%,514274040000.00,United States,1999,21106422,Technology,Semiconductors
PEP,PepsiCo Inc. Common Stock,$154.31,0.26,0.169%,213274158860.00,United States,,3733541,Consumer Non-Durables,Beverages (Production/Distribution)
PYPL,PayPal Holdings Inc. Common Stock,$280.67,5.17,1.877%,329796273541.00,United States,,7351582,Miscellaneous,Business Services
TSLA,Tesla Inc. Common Stock,$714.63,3.71,0.522%,707494532362.00,United States,2010,12889518,Capital Goods,Auto Manufacturing
